youtube_url,technique_type,plant,use_case,short_term,mid_term,long_term
https://youtu.be/wBxy1-HU4js?si=6U5QRtWdYBXLq0K0,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/Vwjoy1HpwUQ?si=KBmoa7VWZeZkXciE,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/Vwjoy1HpwUQ?si=KBmoa7VWZeZkXciE,screening,conifers,long-term screening,False,False,True
https://youtu.be/Vwjoy1HpwUQ?si=KBmoa7VWZeZkXciE,screening,berms,physical screening structure,False,False,False
https://youtu.be/Vwjoy1HpwUQ?si=KBmoa7VWZeZkXciE,screening,spruce,long-term evergreen screen,False,False,True
https://youtu.be/Vwjoy1HpwUQ?si=KBmoa7VWZeZkXciE,screening,pine,fast-growing mid-term screening,False,True,False
https://youtu.be/Vwjoy1HpwUQ?si=KBmoa7VWZeZkXciE,screening,sorghum,annual screening,False,False,False
https://youtu.be/Vwjoy1HpwUQ?si=KBmoa7VWZeZkXciE,screening,access screening,hunter access concealment,False,False,False
https://youtu.be/kLuZRtLMthU?si=v8Fy4jTIro1Vf56y,screening,Egyptian wheat,short-term screening,True,False,False
https://youtu.be/kLuZRtLMthU?si=v8Fy4jTIro1Vf56y,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/O9w0j2GUL5c?si=eHaXoiF-JTry9ycJ,screening,Egyptian wheat,short-term screening,True,False,False
https://youtu.be/AGJ_Jrb1Xw4?si=JxsjjhXlekR-A-EX,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/BTGj1kBmZTA?si=KAUnbwTSTzVBN37k,screening,Egyptian wheat,short-term screening,True,False,False
https://youtu.be/BTGj1kBmZTA?si=KAUnbwTSTzVBN37k,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/BTGj1kBmZTA?si=KAUnbwTSTzVBN37k,screening,conifers,long-term screening,False,False,True
https://youtu.be/BTGj1kBmZTA?si=KAUnbwTSTzVBN37k,screening,spruce,long-term evergreen screen,False,False,True
https://youtu.be/BTGj1kBmZTA?si=KAUnbwTSTzVBN37k,screening,pine,fast-growing mid-term screening,False,True,False
https://youtu.be/BTGj1kBmZTA?si=KAUnbwTSTzVBN37k,screening,miscanthus grass,perennial screening grass,False,False,True
https://youtu.be/BTGj1kBmZTA?si=KAUnbwTSTzVBN37k,screening,sorghum,annual screening,False,False,False
https://youtu.be/SuM3sgb8PvQ?si=02uGVrNclbnhlpYG,screening,Egyptian wheat,short-term screening,True,False,False
https://youtu.be/SuM3sgb8PvQ?si=02uGVrNclbnhlpYG,screening,switchgrass,mid/long-term screening and bedding,False,True,True
https://youtu.be/SuM3sgb8PvQ?si=02uGVrNclbnhlpYG,screening,berms,physical screening structure,False,False,False
https://youtu.be/SuM3sgb8PvQ?si=02uGVrNclbnhlpYG,screening,spruce,long-term evergreen screen,False,False,True
https://youtu.be/SuM3sgb8PvQ?si=02uGVrNclbnhlpYG,screening,pine,fast-growing mid-term screening,False,True,False
https://youtu.be/SuM3sgb8PvQ?si=02uGVrNclbnhlpYG,screening,sorghum,annual screening,False,False,False
